EN: 84, KO: 84
[0] EN: Chapter 14 | KO: 제14장
[37] EN: "But, Doctor, you praise me to | KO: "하지만, 박사님, 저를 너무 과대평가하시는걸요. 게다
[38] EN: "I do not know you? I, an old  | KO: "제가 부인을 모른다고요? 평생을 남자와 여자를 연구해
[39] EN: "He was almost fully recovered | KO: "거의 다 회복되었는데, 호킨스 씨가 돌아가시는 바람에
[40] EN: "Oh, yes, I know. I read your  | KO:  “오, 네, 알고 있습니다. 부인께서 보내신 마지막 
[41] EN: "I think that upset him, becau | KO: “그 일이 조나단에게 큰 충격을 준 것 같아요. 지난 
[42] EN: "A shock? And so soon after br | KO: “발작이요? 뇌수막염을 앓고 난 지 얼마 안 되었는데!
[43] EN: "He thought he saw someone who | KO: “그는 아주 끔찍한 무언가를 떠올리게 하는 사람을 봤다
[44] EN: "My life is barren and lonely, | KO: “제 삶은 메마르고 외롭습니다. 일에만 파묻혀 살다 보
[45] EN: After lunch, when we returned  | KO: 점심 식사 후 거실로 돌아왔을 때, 그가 말했다.
[46] EN: "And now, tell me everything a | KO: “자, 이제 그분에 대해 모든 걸 말씀해 주시지요.” 
[47] EN: "Dr. Van Helsing, what I have  | KO: “반 헬싱 박사님, 제가 지금부터 드릴 말씀이 너무 이
[48] EN: "Oh, my dear, if you only knew | KO: “오, 부인, 제가 지금 조사하고 있는 일이 얼마나 이
[49] EN: "Thank you, thank you a thousa | KO: “감사합니다, 정말 수천 번이라도 감사드리고 싶어요! 
[50] EN: "I promise," he said as I hand | KO: 서류를 받아 들며 그가 약속했다. “약속하죠. 허락해 
[51] EN: "Jonathan will be here at half | KO: “조나단은 11시 반에 돌아올 거예요. 그때 오셔서 함
[52] EN: So, he took the papers and lef | KO: 그렇게 그는 서류를 챙겨 떠났고, 나는 지금 여기 앉아
[53] EN: * * * * * | KO: * * * * *
[54] EN: Letter (delivered by hand) fro | KO: 반 헬싱이 하커 부인에게 보낸 편지 (인편으로 전달됨)
[55] EN: "September 25, 6:00 p.m. | KO: "9월 25일, 오후 6시.
[56] EN: "Dear Madam Mina,? | KO: "친애하는 미나 부인께,—
[57] EN: "I have read your husband's tr | KO: "부군의 놀라운 일기를 모두 읽었습니다. 오늘 밤은 한
[58] EN: "Yours most faithfully, | KO: "진심을 담아,
[59] EN: "Abraham Van Helsing." | KO: "아브라함 반 헬싱."
[60] EN: Letter from Mrs. Harker to Van | KO: 하커 부인이 반 헬싱에게 보낸 편지.
[61] EN: "September 25, 6:30 p.m. | KO: "9월 25일, 오후 6시 30분.
[62] EN: "My dear Dr. Van Helsing,? | KO: "친애하는 반 헬싱 박사님,—
[63] EN: "A thousand thanks for your in | KO: "이토록 다정한 편지를 보내주셔서 수천 번이라도 감사드
[64] EN: "Believe me, | KO: "진심을 담아,
[65] EN: "Your faithful and grateful fr | KO:  "언제나 헌신하고 감사하는 친구,
[66] EN: "Mina Harker." | KO: "미나 하커 올림."
[67] EN: Jonathan Harker's Journal. | KO: 조나단 하커의 일기.
[68] EN: September 26.?I never thought  | KO: 9월 26일.—이 일기장에 다시 글을 쓰게 될 줄은 몰
[69] EN: I think he was surprised to se | KO: 박사님은 나를 보고 내심 놀라신 것 같았다. 내가 방에
[70] EN: "But Madam Mina told me you we | KO: “하지만 미나 부인은 선생께서 편찮으시다더군요. 큰 충
[71] EN: "I was ill, and I did suffer a | KO: “앓아누웠던 것도 맞고 큰 충격을 받은 것도 맞지만, 
[72] EN: "And how did I do that?" | KO: “제가 어떻게 고쳐드렸단 말씀입니까?”
[73] EN: "Through the letter you sent M | KO: “어젯밤 미나에게 보내신 그 편지 덕분이죠. 저는 깊은
[74] EN: "Aha! So you are a physiognomi | KO: “아하! 관상(얼굴을 보고 성격을 읽어내는 사람)을 보
[75] EN: "She is one of God's most perf | KO: “부인께서는 신이 빚어낸 가장 완벽한 피조물 중 하나입
[76] EN: We shook hands, and he was so  | KO: 우리는 악수를 나누었고, 그의 진심 어린 다정한 태도에
[77] EN: "And now," he said, "may I ask | KO: “자, 그럼.” 그가 말을 이었다. “부탁을 하나 더 
[78] EN: "Look here, sir," I said, "doe | KO: “이보십시오, 박사님.” 내가 말했다. “박사님의 임무
[79] EN: "It does," he replied solemnly | KO: “그렇습니다.” 그가 엄숙하게 대답했다.
[80] EN: "Then I am with you heart and  | KO: “그렇다면 진심을 다해 박사님과 함께하겠습니다. 10시
[81] EN: After breakfast, I walked him  | KO: 아침 식사 후, 나는 그를 역까지 배웅했다. 인사를 나
[82] EN: "Perhaps you will come to Lond | KO: “만약 제가 사람을 보내거든 런던으로 와주실 수 있겠습
[83] EN: "We will both come whenever yo | KO: “부르시면 언제든 두 사람 모두 가겠습니다.” 내가 대
